Date : 2022-05-23 22:16:57
Directory : c:\Users\SavyaSachiVijayavith\personal\spm\spm-client
Total : 135 files,  15306 codes, 201 comments, 672 blanks, all 16179 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\shared\interfaces                                                                                                                          |          2 |         33 |          0 |          6 |         39 |
| src\app\shared\loading-spinner                                                                                                                     |          4 |         32 |          0 |         12 |         44 |
| src\app\shared\material                                                                                                                            |          1 |         59 |          1 |          5 |         65 |
| src\app\shared\notifcation-menu                                                                                                                    |          4 |         88 |          0 |         17 |        105 |
| src\app\shared\pie-chart                                                                                                                           |          4 |         57 |          0 |         12 |         69 |
| src\app\shared\progress-bar                                                                                                                        |          4 |         92 |          2 |         19 |        113 |
| src\app\shared\project-card                                                                                                                        |          4 |        205 |          2 |         32 |        239 |
| src\app\shared\services                                                                                                                            |          4 |         90 |          1 |         22 |        113 |
| src\app\shared\sidenav                                                                                                                             |          4 |        104 |          0 |         23 |        127 |
| src\app\shared\task-card                                                                                                                           |          4 |         86 |          5 |         18 |        109 |
| src\app\shared\top-nav                                                                                                                             |          4 |         66 |         17 |         18 |        101 |
| src\app\shared\utility                                                                                                                             |          1 |         13 |          3 |          3 |         19 |
| src\assets                                                                                                                                         |          1 |        939 |         19 |          1 |        959 |
| src\environments                                                                                                                                   |          2 |          6 |         11 |          4 |         21 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\README.md                                                                                    | Markdown           |         14 |          0 |         14 |         28 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\angular.json                                                                                 | JSON               |        114 |         21 |          0 |        135 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\protractor.conf.js                                                                       | JavaScript         |         24 |          6 |          2 |         32 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\src\app.e2e-spec.ts                                                                      | TypeScript         |         18 |          1 |          5 |         24 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\src\app.po.ts                                                                            | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\tsconfig.json                                                                            | JSON with Comments |         13 |          0 |          1 |         14 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\karma.conf.js                                                                                | JavaScript         |         29 |          2 |          2 |         33 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\package-lock.json                                                                            | JSON               |     10,494 |          0 |          1 |     10,495 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\package.json                                                                                 | JSON               |         56 |          0 |          1 |         57 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app-routing.module.ts                                                                | TypeScript         |         36 |          1 |          3 |         40 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.html                                                                   | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.scss                                                                   | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.spec.ts                                                                | TypeScript         |         31 |          0 |          5 |         36 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.ts                                                                     | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.module.ts                                                                        | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\auth.module.ts                                                                  | TypeScript         |         77 |          0 |          3 |         80 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.html                                                      | HTML               |         23 |          0 |          5 |         28 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.scss                                                      | SCSS               |         24 |          0 |          5 |         29 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.spec.ts                                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.ts                                                        | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.html                                                    | HTML               |         41 |          0 |          7 |         48 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.scss                                                    | SCSS               |         24 |          0 |          5 |         29 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.spec.ts                                                 | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.ts                                                      | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.html                        | HTML               |        106 |          0 |         20 |        126 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.spec.ts                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.ts                          | TypeScript         |         11 |          0 |          6 |         17 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.html                  | HTML               |        100 |          0 |          9 |        109 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.scss                  | SCSS               |          8 |          0 |          2 |         10 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.spec.ts               | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.ts                    | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.html    | HTML               |         26 |          0 |          4 |         30 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.scss    | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.ts      | TypeScript         |         28 |          0 |          9 |         37 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.html              | HTML               |        103 |          3 |         13 |        119 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.scss              | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.spec.ts           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.ts                | TypeScript         |         31 |          3 |         12 |         46 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.html                    | HTML               |         74 |         21 |         11 |        106 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.scss                    | SCSS               |         52 |          0 |          9 |         61 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.spec.ts                 | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.ts                      | TypeScript         |         28 |          0 |          9 |         37 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee.module.ts                                                          | TypeScript         |         27 |          0 |          3 |         30 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.html                                           | HTML               |         50 |          8 |          8 |         66 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.scss                                           | SCSS               |         15 |          0 |          4 |         19 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.spec.ts                                        | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.ts                                             | TypeScript         |         56 |          0 |          9 |         65 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.html                               | HTML               |         75 |          0 |          5 |         80 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.spec.ts                            | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.ts                                 | TypeScript         |         60 |          0 |          7 |         67 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.html                               | HTML               |         69 |          0 |          8 |         77 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.spec.ts                            | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.ts                                 | TypeScript         |         39 |          0 |          5 |         44 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.html                 | HTML               |         78 |          4 |          8 |         90 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.scss                 | SCSS               |         10 |          0 |          3 |         13 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.spec.ts              | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.ts                   | TypeScript         |         50 |          0 |          7 |         57 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.html                       | HTML               |        118 |          2 |         11 |        131 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.scss                       | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.spec.ts                    | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.ts                         | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager.module.ts                                                            | TypeScript         |         29 |          0 |          3 |         32 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\services\manager.service.spec.ts                                             | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\services\manager.service.ts                                                  | TypeScript         |        150 |          1 |         19 |        170 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.html                                                    | HTML               |         93 |          1 |          7 |        101 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.scss                                                    | SCSS               |         19 |          0 |          5 |         24 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.spec.ts                                                 | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.ts                                                      | TypeScript         |        117 |          6 |         13 |        136 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.html                          | HTML               |          7 |          0 |          1 |          8 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.scss                          | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.spec.ts                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.ts                            | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.html                              | HTML               |         42 |          0 |         11 |         53 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.scss                              | SCSS               |         24 |          0 |          5 |         29 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.spec.ts                           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.ts                                | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\project.interface.ts                                               | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\user.interface.ts                                                  | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.html                                | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.scss                                | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.spec.ts                             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.ts                                  | TypeScript         |         11 |          0 |          4 |         15 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\material\material.module.ts                                                   | TypeScript         |         59 |          1 |          5 |         65 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.html                              | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.scss                              | SCSS               |         41 |          0 |          7 |         48 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.spec.ts                           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.ts                                | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.html                                            | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.scss                                            | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.spec.ts                                         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.ts                                              | TypeScript         |         34 |          0 |          4 |         38 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.html                                      | HTML               |         11 |          0 |          1 |         12 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.scss                                      | SCSS               |         50 |          2 |          8 |         60 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.spec.ts                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.ts                                        | TypeScript         |         11 |          0 |          4 |         15 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.html                                      | HTML               |         76 |          1 |         11 |         88 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.scss                                      | SCSS               |          8 |          0 |          2 |         10 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.spec.ts                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.ts                                        | TypeScript         |        101 |          1 |         13 |        115 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\admin-api.service.spec.ts                                            | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\admin-api.service.ts                                                 | TypeScript         |         59 |          1 |         11 |         71 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\snackbar.service.spec.ts                                             | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\snackbar.service.ts                                                  | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\shared.module.ts                                                              | TypeScript         |         59 |          0 |          5 |         64 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.html                                                | HTML               |         32 |          0 |          6 |         38 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.scss                                                | SCSS               |         21 |          0 |          4 |         25 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.spec.ts                                             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.ts                                                  | TypeScript         |         31 |          0 |          7 |         38 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\spacing.directive.spec.ts                                                     | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\spacing.directive.ts                                                          | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.html                                            | HTML               |         21 |          5 |          2 |         28 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.scss                                            | SCSS               |         31 |          0 |          6 |         37 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.spec.ts                                         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.ts                                              | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.html                                                | HTML               |         32 |         17 |          6 |         55 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.scss                                                | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.spec.ts                                             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.ts                                                  | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\utility\error.ts                                                              | TypeScript         |         13 |          3 |          3 |         19 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\assets\canvasjs.min.js                                                                   | JavaScript         |        939 |         19 |          1 |        959 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\environments\environment.prod.ts                                                         | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\environments\environment.ts                                                              | TypeScript         |          3 |         11 |          3 |         17 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\index.html                                                                               | HTML               |         16 |          0 |          2 |         18 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\main.ts                                                                                  | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\polyfills.ts                                                                             | TypeScript         |          1 |         55 |          8 |         64 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\styles.scss                                                                              | SCSS               |         27 |          1 |          3 |         31 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\test.ts                                                                                  | TypeScript         |         13 |          4 |          4 |         21 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\tsconfig.app.json                                                                            | JSON               |         18 |          0 |          1 |         19 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\tsconfig.json                                                                                | JSON with Comments |         26 |          0 |          1 |         27 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\tsconfig.spec.json                                                                           | JSON               |         18 |          0 |          1 |         19 |
| c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\tslint.json                                                                                  | JSON               |         92 |          0 |          0 |         92 |
| Total                                                                                                                                              |                    |     15,306 |        201 |        672 |     16,179 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
